symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout,breakout_pct,btc,candle,ema,ema_aligned,is_late,rsi,rsi_raw,squeeze,taker,taker_buy,vol,vol_ratio,vs_btc_pct
AAVEUSDT,2026-09-01 08:40,1788241200000,70.05,strong,5m,3.138,127.21,-0.189,-0.48,-0.456,1.9262,0.4263,0.2,0.2206,0.2707,0.9803,1.0,1,0,0.475,72.3,1.0,1.0,0.83755,0.4786,2.6359,0.2413
AAVEUSDT,2026-09-01 09:30,1788244200000,70.68,late,5m,2.903,126.91,0.016,-0.173,-0.063,2.5313,-0.1731,0.0,-0.4003,0.2997,0.2343,1.0,1,1,0.9397,56.914,1.0,0.7099,0.70458,1.0,4.5001,0.2993
AAVEUSDT,2026-09-01 10:35,1788248100000,67.29,late,5m,2.385,126.63,-0.837,-1.161,-0.94,1.7145,-0.1498,0.0,-0.962,0.3448,0.4737,0.3,0,1,0.6651,51.973,1.0,0.9853,0.77617,0.7189,3.3567,0.3896
AAVEUSDT,2026-09-01 13:30,1788258600000,87.87,strong,5m,3.237,127.59,-0.055,-0.745,-0.086,2.409,0.7104,0.3592,0.7183,1.0,0.9595,1.0,1,0,0.4957,72.052,1.0,1.0,0.80895,1.0,4.3916,1.8497
AAVEUSDT,2026-09-01 14:00,1788260400000,60.04,watch,15m,2.563,126.87,1.308,0.843,1.182,0.53,0.15,0.0,-0.8053,0.7166,1.0,1.0,1,0,0.9614,57.305,1.0,0.9312,0.76211,0.0,0.0972,1.1331
AAVEUSDT,2026-09-01 14:30,1788262200000,60.68,watch,15m,3.432,127.48,-0.259,-0.816,-0.777,1.123,0.5363,0.0,-0.3284,0.8599,0.9864,1.0,1,0,0.7975,61.646,1.0,1.0,0.89972,0.0,0.3284,1.4197
AAVEUSDT,2026-09-01 17:20,1788272400000,62.45,watch,5m,3.672,127.34,-0.291,-0.518,-0.306,0.9727,0.4179,0.0,-0.1177,0.292,1.0,1.0,1,0,0.896,59.873,1.0,1.0,0.95305,0.1246,1.5739,0.2841
AAVEUSDT,2026-09-01 20:30,1788283800000,59.87,watch,5m,3.294,127.0,-0.984,-1.465,-1.433,1.2163,0.2764,0.0,0.1735,0.429,0.94,1.0,1,0,0.9692,58.555,1.0,1.0,0.78919,0.0,0.9959,0.5581
AAVEUSDT,2026-09-02 00:00,1788296400000,73.52,strong,5m,1.643,126.19,0.404,0.04,0.349,1.7295,0.1826,0.0,-0.1345,0.2652,0.8985,0.3,0,0,0.739,53.303,1.0,0.8995,0.75386,0.8631,3.7894,0.2303
AAVEUSDT,2026-09-02 01:45,1788302700000,69.59,watch,5m,1.988,126.7,1.002,0.695,0.916,1.475,0.436,0.0,-0.0552,0.2886,1.0,1.0,1,0,0.9095,59.63,1.0,1.0,0.92729,0.4065,3.0253,0.2772
AAVEUSDT,2026-09-02 02:30,1788305400000,59.62,watch,5m,2.862,127.58,0.078,-0.274,-0.125,1.8053,0.2121,0.0,0.0706,0.3435,0.8216,1.0,1,0,0.6622,64.081,1.0,0.3738,0.61719,0.7002,3.3007,0.3871
AAVEUSDT,2026-09-02 03:45,1788309900000,60.15,watch,15m,2.046,127.69,-1.457,-1.864,-1.833,0.9391,0.5037,0.0,-0.4754,0.394,0.9873,1.0,1,0,0.9649,58.632,0.999,1.0,0.8119,0.0,0.4887,0.488
