symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout_pct,ema_aligned,fractal_break,is_late,rsi_raw,rsi_zone,sar_trend,taker_buy,vol_ratio,vs_btc_pct
AAVEUSDT,2026-09-01 08:40,1788241200000,72.72,strong,1h,3.138,127.21,-0.189,-0.48,-0.456,0.0,1.0405,0.0,0,0.8677,0,63.327,0.8094,0.533,0.0,0.0,0.0
AAVEUSDT,2026-09-01 09:10,1788243000000,59.75,watch,1h,2.848,126.76,-0.181,-0.308,-0.3,0.0,-0.3146,0.0,0,0.6878,0,60.467,0.7276,0.3844,0.0,0.0,0.0
AAVEUSDT,2026-09-01 10:45,1788248700000,58.89,watch,1h,2.619,126.93,-0.906,-1.41,-1.284,0.0,0.3875,0.0,0,0.7558,0,60.149,0.7185,0.3215,0.0,0.0,0.0
AAVEUSDT,2026-09-01 13:30,1788258600000,74.62,strong,5m,3.237,127.59,-0.055,-0.745,-0.086,0.0,0.7104,0.0,0,0.8246,0,72.052,1.0,0.4003,0.0,0.0,0.0
AAVEUSDT,2026-09-01 14:40,1788262800000,58.59,watch,5m,3.82,128.02,-1.617,-2.054,-1.664,0.0,0.227,0.0,0,0.4135,0,69.652,0.99,0.2472,0.0,0.0,0.0
AAVEUSDT,2026-09-02 06:05,1788318300000,60.85,watch,5m,3.476,128.59,1.975,1.431,1.516,0.0,0.2026,0.0,0,0.4077,0,70.751,1.0,0.3044,0.0,0.0,0.0
AAVEUSDT,2026-09-02 06:35,1788320100000,66.58,watch,1h,2.496,129.33,2.327,1.43,2.258,0.0,1.3876,0.0,0,0.4014,0,62.663,0.7904,0.7124,0.0,0.0,0.0
AAVEUSDT,2026-09-02 07:05,1788321900000,87.52,strong,1h,3.669,130.54,1.157,0.751,1.011,0.0,0.9512,0.0,0,0.873,0,66.221,0.892,0.8576,0.0,0.0,0.0
AAVEUSDT,2026-09-02 07:35,1788323700000,100.0,strong,1h,4.811,132.25,2.132,1.293,1.316,0.0,2.2736,0.0,0,1.0,0,70.659,1.0,1.0,0.0,0.0,0.0
AAVEUSDT,2026-09-02 08:05,1788325500000,97.92,strong,1h,4.254,131.86,2.745,2.01,2.01,0.0,-0.2647,0.0,0,1.0,0,68.802,0.9658,0.9796,0.0,0.0,0.0
AAVEUSDT,2026-09-02 08:35,1788327300000,100.0,strong,1h,5.762,133.99,-0.866,-1.127,-0.903,0.0,1.3463,0.0,0,1.0,0,73.889,1.0,1.0,0.0,0.0,0.0
AAVEUSDT,2026-09-02 09:05,1788329100000,100.0,strong,1h,6.475,134.51,-0.795,-1.197,-1.033,0.0,0.1042,0.0,0,1.0,0,74.772,1.0,1.0,0.0,0.0,0.0
AAVEUSDT,2026-09-02 09:35,1788330900000,96.76,strong,1h,4.774,132.78,-0.384,-0.603,-0.414,0.0,-1.1833,0.0,0,1.0,0,67.479,0.928,0.9898,0.0,0.0,0.0
AAVEUSDT,2026-09-02 10:05,1788332700000,71.18,strong,1h,5.258,133.12,-1.029,-1.3,-1.3,0.0,-0.1126,0.0,0,0.0,0,68.895,0.9684,0.9268,0.0,0.0,0.0
AAVEUSDT,2026-09-02 10:35,1788334500000,61.32,watch,1h,4.422,132.23,-1.346,-1.565,-1.55,0.0,-0.7804,0.0,0,0.0,0,64.2,0.8343,0.7985,0.0,0.0,0.0
AAVEUSDT,2026-09-02 16:40,1788356400000,59.14,watch,5m,1.683,128.12,-0.609,-1.046,-0.718,0.0,1.449,0.0,0,0.5125,0,64.873,0.8535,0.3481,0.0,0.0,0.0
AAVEUSDT,2026-09-03 11:30,1788424200000,59.69,watch,15m,-0.905,129.21,0.573,0.341,0.534,0.0,0.1783,0.0,0,0.5477,0,65.61,0.8746,0.3148,0.0,0.0,0.0
AAVEUSDT,2026-09-03 12:00,1788426000000,63.12,watch,1h,0.598,129.6,-0.108,-0.478,-0.208,0.0,-0.3767,0.0,0,0.5303,0,60.642,0.7326,0.5874,0.0,0.0,0.0
AAVEUSDT,2026-09-03 12:30,1788427800000,69.79,watch,1h,2.251,129.9,-0.585,-0.978,-0.978,0.0,-0.1461,0.0,0,0.6472,0,62.545,0.787,0.6323,0.0,0.0,0.0
AAVEUSDT,2026-09-03 13:20,1788430800000,58.09,watch,1h,2.099,129.37,0.193,-0.263,0.155,0.0,0.0464,0.0,0,0.4406,0,60.168,0.7191,0.5231,0.0,0.0,0.0
AAVEUSDT,2026-09-03 15:10,1788437400000,58.18,watch,1h,3.287,130.72,0.405,0.069,0.199,0.0,0.4997,0.0,0,0.0383,0,64.589,0.8454,0.6686,0.0,0.0,0.0
AAVEUSDT,2026-09-03 15:40,1788439200000,64.9,watch,1h,3.237,131.09,0.061,-0.221,-0.175,0.0,0.7842,0.0,0,0.1799,0,65.706,0.8773,0.7232,0.0,0.0,0.0
AAVEUSDT,2026-09-03 16:10,1788441000000,59.27,watch,1h,3.714,130.98,-0.221,-0.649,-0.305,0.0,-0.4333,0.0,0,0.1378,0,63.759,0.8217,0.6558,0.0,0.0,0.0
AAVEUSDT,2026-09-03 17:35,1788446100000,70.58,strong,1h,3.83,131.74,1.738,1.397,1.571,0.0,0.6802,0.0,0,0.4287,0,65.347,0.8671,0.7195,0.0,0.0,0.0
AAVEUSDT,2026-09-03 18:05,1788447900000,87.89,strong,1h,5.351,133.09,0.158,-0.902,-0.556,0.0,-0.7976,0.0,0,0.9455,0,65.854,0.8815,0.8282,0.0,0.0,0.0
AAVEUSDT,2026-09-03 18:35,1788449700000,96.32,strong,1h,5.412,133.81,-0.725,-1.031,-0.882,0.0,-0.2609,0.0,0,1.0,0,68.882,0.9681,0.9313,0.0,0.0,0.0
AAVEUSDT,2026-09-03 19:05,1788451500000,68.54,watch,1h,3.983,132.35,1.534,1.035,1.277,0.0,-1.4006,0.0,0,0.6622,0,61.592,0.7598,0.6169,0.0,0.0,0.0
AAVEUSDT,2026-09-03 19:35,1788453300000,73.36,strong,1h,4.376,132.63,1.417,1.199,1.365,0.0,-1.192,0.0,0,0.7694,0,62.219,0.7777,0.6578,0.0,0.0,0.0
AAVEUSDT,2026-09-03 20:05,1788455100000,62.89,watch,1h,5.986,134.04,0.433,0.104,0.373,0.0,0.8123,0.0,0,0.0,0,66.486,0.8996,0.7687,0.0,0.0,0.0
AAVEUSDT,2026-09-03 20:35,1788456900000,91.36,strong,1h,6.009,134.44,0.387,0.089,0.104,0.0,1.1131,0.0,0,1.0,0,67.772,0.9363,0.8259,0.0,0.0,0.0
AAVEUSDT,2026-09-03 21:05,1788458700000,88.59,strong,1h,5.77,134.54,0.728,-0.305,-0.245,0.0,0.2907,0.0,0,1.0,0,68.06,0.9446,0.7374,0.0,0.0,0.0
AAVEUSDT,2026-09-03 21:35,1788460500000,89.35,strong,1h,6.027,134.58,-0.32,-0.632,-0.364,0.0,0.3205,0.0,0,1.0,0,68.55,0.9586,0.7431,0.0,0.0,0.0
AAVEUSDT,2026-09-03 22:05,1788462300000,80.13,strong,1h,5.494,134.21,0.082,-0.179,0.082,0.0,-0.5484,0.0,0,1.0,0,65.647,0.8756,0.5744,0.0,0.0,0.0
AAVEUSDT,2026-09-03 22:35,1788464100000,78.04,strong,1h,5.9,134.09,0.358,-0.007,0.291,0.0,-0.6373,0.0,0,1.0,0,64.349,0.8385,0.5571,0.0,0.0,0.0
AAVEUSDT,2026-09-03 23:05,1788465900000,75.7,strong,1h,5.697,134.32,0.216,0.022,0.134,0.0,0.1417,0.0,0,1.0,0,65.053,0.8587,0.4673,0.0,0.0,0.0
AAVEUSDT,2026-09-03 23:35,1788467700000,76.0,strong,1h,5.806,134.48,0.602,0.171,0.201,0.0,0.2609,0.0,0,1.0,0,64.602,0.8458,0.4905,0.0,0.0,0.0
AAVEUSDT,2026-09-04 07:30,1788496200000,58.17,watch,5m,6.352,134.95,-0.422,-0.86,-0.496,0.0,0.0667,0.0,0,0.4297,0,68.581,0.9595,0.2585,0.0,0.0,0.0
AAVEUSDT,2026-09-04 11:55,1788512100000,68.46,watch,15m,4.505,135.94,-1.14,-1.501,-1.493,0.0,1.0256,0.0,0,0.6181,0,66.715,0.9061,0.4788,0.0,0.0,0.0
AAVEUSDT,2026-09-04 15:10,1788523800000,60.36,watch,5m,3.511,135.31,-2.358,-2.941,-2.535,0.0,0.1925,0.0,0,0.4624,0,73.187,1.0,0.2513,0.0,0.0,0.0
AAVEUSDT,2026-09-05 18:35,1788622500000,64.94,watch,15m,0.594,132.05,0.045,-0.295,-0.227,0.0,0.6402,0.0,0,0.4508,0,72.355,1.0,0.3906,0.0,0.0,0.0
AAVEUSDT,2026-09-05 19:20,1788625200000,65.8,watch,15m,0.692,132.36,-0.151,-0.272,-0.249,0.0,0.631,0.0,0,0.5693,0,70.194,1.0,0.3305,0.0,0.0,0.0
AAVEUSDT,2026-09-05 20:30,1788629400000,59.24,watch,1h,1.114,132.51,1.283,0.943,1.079,0.0,0.5387,0.0,0,0.4723,0,59.169,0.6906,0.5661,0.0,0.0,0.0
AAVEUSDT,2026-09-05 21:00,1788631200000,65.38,watch,1h,1.745,132.93,1.377,0.7,0.85,0.0,-0.0601,0.0,0,0.6323,0,60.475,0.7279,0.5845,0.0,0.0,0.0
AAVEUSDT,2026-09-05 21:30,1788633000000,84.29,strong,1h,2.526,133.94,1.463,0.948,0.948,0.0,0.6992,0.0,0,1.0,0,64.498,0.8428,0.7309,0.0,0.0,0.0
AAVEUSDT,2026-09-05 22:00,1788634800000,80.47,strong,1h,2.657,134.06,1.052,0.574,0.738,0.0,-0.342,0.0,0,1.0,0,62.898,0.7971,0.674,0.0,0.0,0.0
AAVEUSDT,2026-09-05 22:30,1788636600000,92.02,strong,1h,3.53,135.21,-0.451,-0.747,-0.688,0.0,0.5129,0.0,0,1.0,0,67.966,0.9419,0.8383,0.0,0.0,0.0
AAVEUSDT,2026-09-05 23:00,1788638400000,86.91,strong,1h,3.399,135.05,-0.585,-0.933,-0.881,0.0,0.1632,0.0,0,1.0,0,67.074,0.9164,0.7215,0.0,0.0,0.0
AAVEUSDT,2026-09-05 23:30,1788640200000,78.21,strong,1h,3.11,134.28,0.149,-0.074,0.074,0.0,-0.4079,0.0,0,1.0,0,62.846,0.7956,0.6109,0.0,0.0,0.0
AAVEUSDT,2026-09-06 03:40,1788655200000,68.05,watch,1h,4.47,136.95,2.088,1.424,1.65,0.0,1.8822,0.0,0,0.3863,0,67.743,0.9355,0.5993,0.0,0.0,0.0
AAVEUSDT,2026-09-06 04:10,1788657000000,88.84,strong,1h,5.771,138.55,0.014,-0.383,-0.303,0.0,0.2025,0.0,0,0.975,0,71.463,1.0,0.699,0.0,0.0,0.0
AAVEUSDT,2026-09-06 04:40,1788658800000,92.67,strong,1h,6.625,139.21,-2.09,-2.579,-2.5,0.0,0.6798,0.0,0,1.0,0,71.879,1.0,0.7905,0.0,0.0,0.0
AAVEUSDT,2026-09-06 05:10,1788660600000,75.73,strong,1h,6.14,138.13,-1.701,-1.969,-1.795,0.0,-0.6187,0.0,0,0.8205,0,66.78,0.908,0.5401,0.0,0.0,0.0
AAVEUSDT,2026-09-06 08:35,1788672900000,66.77,watch,5m,5.592,136.72,-0.834,-1.031,-0.951,0.0,0.7368,0.0,0,0.6408,0,69.903,0.9972,0.3104,0.0,0.0,0.0
AAVEUSDT,2026-09-07 00:15,1788729300000,61.66,watch,5m,0.732,134.91,-0.526,-0.815,-0.778,0.0,0.2899,0.0,0,0.6077,1,83.244,1.0,0.1848,0.0,0.0,0.0
AAVEUSDT,2026-09-07 00:55,1788731700000,59.36,watch,15m,0.267,135.01,-0.407,-0.578,-0.548,0.0,0.1781,0.0,0,0.4522,0,67.494,0.9284,0.312,0.0,0.0,0.0
AAVEUSDT,2026-09-07 02:30,1788737400000,58.69,watch,5m,0.898,135.93,0.199,-0.007,0.037,0.0,0.1547,0.0,0,0.4416,0,74.889,1.0,0.2185,0.0,0.0,0.0
AAVEUSDT,2026-09-07 05:35,1788748500000,64.08,watch,5m,-0.36,135.75,-1.606,-1.834,-1.82,0.0,1.3589,0.0,0,0.6492,0,64.893,0.8541,0.3911,0.0,0.0,0.0
AAVEUSDT,2026-09-07 08:10,1788757800000,59.07,watch,5m,0.126,135.3,0.31,-0.429,0.163,0.0,0.3263,0.0,0,0.4512,0,68.971,0.9706,0.2563,0.0,0.0,0.0
AAVEUSDT,2026-09-07 08:40,1788759600000,68.67,watch,15m,-0.242,136.22,-1.057,-1.299,-1.248,0.0,0.2576,0.0,0,0.7677,0,64.648,0.8471,0.4454,0.0,0.0,0.0
AAVEUSDT,2026-09-08 12:40,1788860400000,61.25,watch,5m,-1.403,132.08,-0.704,-0.833,-0.81,0.0,0.38,0.0,0,0.4893,0,72.024,1.0,0.2577,0.0,0.0,0.0
AAVEUSDT,2026-09-08 18:55,1788882900000,61.97,watch,15m,0.291,130.98,-0.428,-0.741,-0.473,0.0,0.2296,0.0,0,0.5285,0,60.045,0.7156,0.5751,0.0,0.0,0.0
AAVEUSDT,2026-09-10 06:00,1789009200000,58.08,watch,5m,-2.25,125.53,0.159,0.008,0.143,0.0,0.0797,0.0,0,0.4704,0,69.249,0.9785,0.2051,0.0,0.0,0.0
AAVEUSDT,2026-09-10 20:30,1789061400000,64.03,watch,5m,-4.571,123.38,-0.673,-0.827,-0.786,0.0,0.4069,0.0,0,0.4539,0,72.229,1.0,0.3623,0.0,0.0,0.0
AAVEUSDT,2026-09-11 15:30,1789129800000,58.17,watch,5m,1.126,123.9,0.783,0.145,0.404,0.0,1.1429,0.0,0,0.5756,1,76.594,1.0,0.1082,0.0,0.0,0.0
AAVEUSDT,2026-09-11 16:00,1789131600000,58.79,watch,1h,2.456,124.73,4.402,3.239,3.84,0.0,-0.2479,0.0,0,0.449,0,59.137,0.6896,0.5708,0.0,0.0,0.0
AAVEUSDT,2026-09-11 16:40,1789134000000,70.08,strong,1h,2.588,125.25,2.619,2.068,2.196,0.0,0.1679,0.0,0,0.6593,0,61.949,0.77,0.6515,0.0,0.0,0.0
AAVEUSDT,2026-09-11 17:10,1789135800000,100.0,strong,1h,5.535,128.7,-0.816,-1.103,-1.08,0.0,-0.3253,0.0,0,1.0,0,70.955,1.0,1.0,0.0,0.0,0.0
AAVEUSDT,2026-09-11 17:40,1789137600000,96.96,strong,1h,4.669,128.0,0.812,0.43,0.477,0.0,-0.8674,0.0,0,1.0,0,67.343,0.9241,1.0,0.0,0.0,0.0
AAVEUSDT,2026-09-11 18:10,1789139400000,86.43,strong,1h,4.182,127.31,-0.259,-0.895,-0.864,0.0,-0.6555,0.0,0,1.0,0,63.653,0.8186,0.8196,0.0,0.0,0.0
AAVEUSDT,2026-09-11 18:40,1789141200000,100.0,strong,1h,5.28,128.61,-2.107,-2.527,-2.115,0.0,0.359,0.0,0,1.0,0,70.008,1.0,1.0,0.0,0.0,0.0
ADAUSDT,2026-09-01 08:40,1788241200000,59.29,watch,1h,3.63,0.2027,-0.444,-0.592,-0.543,0.0,0.8458,0.0,0,0.4731,0,62.632,0.7895,0.4538,0.0,0.0,0.0
