min_score,pullback_pct,timeout_bars,tp_pct,sl_pct,trailing_act,trailing_dist,total_signals,filled_trades,fill_rate_pct,win_rate_pct,net_pnl_pct,profit_factor,expectancy_pct,max_dd_pct,oos_win_rate_pct,oos_net_pnl_pct,score_metric
70.0,1.0,2,0.7,3.0,1.2,0.4,44989,460,0.9,93.5,305.19,4.67,0.629,5.35,93.8,127.08,155.53
65.0,1.0,2,0.7,3.5,1.2,0.4,44989,613,1.2,94.8,392.68,5.05,0.613,6.50,95.1,166.03,148.59
75.0,1.0,2,0.7,3.0,1.2,0.4,44989,353,0.7,93.8,258.04,5.02,0.684,5.35,94.2,110.98,147.65
70.0,1.0,2,0.7,3.5,1.2,0.4,44989,460,0.9,94.3,313.98,6.16,0.680,6.35,93.8,121.58,147.35
65.0,1.0,2,0.7,3.0,1.2,0.4,44989,613,1.2,93.6,371.86,4.10,0.571,5.98,94.2,160.73,146.65
75.0,1.0,4,0.7,3.0,1.2,0.4,44989,537,1.1,92.0,316.24,4.08,0.581,5.98,91.6,121.56,140.59
75.0,0.8,2,0.7,3.5,1.2,0.4,44989,493,0.9,95.9,323.39,6.09,0.605,6.19,96.5,144.92,138.21
65.0,1.0,2,0.8,3.5,1.2,0.4,44989,613,1.2,93.0,390.26,4.33,0.624,7.10,93.0,159.27,137.83
70.0,1.0,2,0.7,3.0,1.5,0.5,44989,460,0.9,93.5,276.44,4.32,0.569,5.50,93.8,115.31,137.54
75.0,1.0,2,0.7,3.5,1.2,0.4,44989,353,0.7,94.3,260.37,5.91,0.713,6.35,94.2,106.99,134.37
60.0,1.0,2,0.7,3.5,1.2,0.4,44989,744,1.4,94.4,433.14,4.43,0.567,7.48,94.2,177.02,134.20
65.0,1.0,2,0.7,3.0,1.5,0.5,44989,613,1.2,93.6,336.82,3.80,0.515,5.98,94.2,146.41,132.26
60.0,1.0,2,0.8,3.5,1.2,0.4,44989,744,1.4,92.5,429.39,3.69,0.569,7.48,92.1,172.29,132.19
70.0,1.0,2,0.7,3.5,1.5,0.5,44989,460,0.9,94.3,285.13,5.70,0.620,6.48,93.8,109.81,131.97
75.0,1.0,2,0.7,3.0,1.5,0.5,44989,353,0.7,93.8,235.13,4.66,0.622,5.48,94.2,101.33,131.67
65.0,1.0,2,0.7,3.5,1.5,0.5,44989,613,1.2,94.8,357.43,4.68,0.556,6.73,95.1,151.60,130.89
60.0,0.8,2,0.7,3.5,1.2,0.4,44989,1095,2.1,93.3,512.32,3.46,0.459,7.48,92.8,206.86,130.86
65.0,0.8,2,0.7,3.5,1.2,0.4,44989,880,1.7,94.1,454.38,4.19,0.508,7.48,93.6,182.60,130.79
70.0,1.0,4,0.7,3.0,1.2,0.4,44989,725,1.5,91.7,384.30,3.63,0.524,6.88,91.8,144.74,130.35
75.0,1.0,2,0.7,2.5,1.2,0.4,44989,353,0.7,91.2,233.72,3.60,0.603,5.16,92.0,104.07,130.19
75.0,0.8,2,0.7,3.5,1.5,0.5,44989,493,0.9,95.9,302.62,5.78,0.567,6.19,96.5,135.21,129.65
75.0,1.0,3,0.7,3.0,1.2,0.4,44989,466,0.9,92.3,286.81,4.28,0.605,6.31,91.2,115.06,129.60
75.0,1.0,4,0.7,3.0,1.5,0.5,44989,537,1.1,92.0,287.52,3.80,0.529,5.98,91.6,110.30,127.98
65.0,1.0,2,0.8,3.5,1.5,0.5,44989,613,1.2,93.0,366.05,4.13,0.586,7.27,93.0,149.30,126.69
75.0,1.0,4,0.7,3.5,1.2,0.4,44989,537,1.1,92.6,320.48,4.25,0.591,6.98,92.1,122.46,125.88
70.0,1.0,4,0.8,3.0,1.2,0.4,44989,725,1.5,89.2,372.17,3.26,0.540,7.36,87.7,125.41,124.51
70.0,1.0,2,0.7,2.5,1.2,0.4,44989,460,0.9,91.3,280.64,3.52,0.562,5.90,92.1,121.67,124.30
60.0,1.0,2,0.8,3.5,1.5,0.5,44989,744,1.4,92.5,401.56,3.52,0.532,7.48,92.1,160.96,123.71
60.0,1.0,2,0.7,3.0,1.2,0.4,44989,744,1.4,93.4,416.82,3.89,0.538,7.72,93.5,173.73,122.46
65.0,1.0,3,0.7,3.5,1.2,0.4,44989,825,1.6,92.8,426.46,3.28,0.487,7.27,93.1,181.12,122.45
65.0,0.8,2,0.7,3.5,1.5,0.5,44989,880,1.7,94.1,422.31,3.98,0.475,7.48,93.6,168.35,122.22
