timestamp,datetime_utc,symbol,event_type,order_id,price,qty,quote_amount,pnl_pct,pnl_usdt,fee,reason,meta
1789418179.139,2026-09-14 20:36:19,TESTUSDT,SL_MARKET_FILLED,,90,10,900.0000,-10.00%,-100.0000,,stop_loss,
1789418179.166,2026-09-14 20:36:19,TESTUSDT,MANUAL_MARKET_SOLD,5,97,10,970.0000,-3.00%,-30.0000,,manual_or_emergency_market_sell,
1789418179.201,2026-09-14 20:36:19,TESTUSDT,SL_OCO_FILLED,888,97,10,970.0000,-3.00%,-30.0000,,oco_stop_loss,
1789418182.817,2026-09-14 20:36:22,TESTUSDT,BUY_LIMIT_FILLED,777,100,5,500.0000,,,,pullback_limit_fill,"{""best_score"": 70.0}"
1789418182.818,2026-09-14 20:36:22,TESTUSDT,TP_LIMIT_PLACED,999,101,5,,,,,tp=1.0%,
1789418183.084,2026-09-14 20:36:23,TESTUSDT,SL_MARKET_FILLED,,97,10,970.0000,-3.00%,-30.0000,,stop_loss,
1789418221.584,2026-09-14 20:37:01,TESTUSDT,SL_MARKET_FILLED,,90,10,900.0000,-10.00%,-100.0000,,stop_loss,
1789418221.608,2026-09-14 20:37:01,TESTUSDT,MANUAL_MARKET_SOLD,5,97,10,970.0000,-3.00%,-30.0000,,manual_or_emergency_market_sell,
1789418221.639,2026-09-14 20:37:01,TESTUSDT,SL_OCO_FILLED,888,97,10,970.0000,-3.00%,-30.0000,,oco_stop_loss,
1789418225.128,2026-09-14 20:37:05,TESTUSDT,BUY_LIMIT_FILLED,777,100,5,500.0000,,,,pullback_limit_fill,"{""best_score"": 70.0}"
1789418225.132,2026-09-14 20:37:05,TESTUSDT,TP_LIMIT_PLACED,999,101,5,,,,,tp=1.0%,
1789418225.793,2026-09-14 20:37:05,TESTUSDT,SL_MARKET_FILLED,,97,10,970.0000,-3.00%,-30.0000,,stop_loss,
1789418250.868,2026-09-14 20:37:30,TESTUSDT,SL_MARKET_FILLED,,90,10,900.0000,-10.00%,-100.0000,,stop_loss,
1789418250.887,2026-09-14 20:37:30,TESTUSDT,MANUAL_MARKET_SOLD,5,97,10,970.0000,-3.00%,-30.0000,,manual_or_emergency_market_sell,
1789418250.914,2026-09-14 20:37:30,TESTUSDT,SL_OCO_FILLED,888,97,10,970.0000,-3.00%,-30.0000,,oco_stop_loss,
1789418254.405,2026-09-14 20:37:34,TESTUSDT,BUY_LIMIT_FILLED,777,100,5,500.0000,,,,pullback_limit_fill,"{""best_score"": 70.0}"
1789418254.407,2026-09-14 20:37:34,TESTUSDT,TP_LIMIT_PLACED,999,101,5,,,,,tp=1.0%,
1789418255.018,2026-09-14 20:37:35,TESTUSDT,SL_MARKET_FILLED,,97,10,970.0000,-3.00%,-30.0000,,stop_loss,
1789418978.708,2026-09-14 20:49:38,TESTUSDT,SL_MARKET_FILLED,,90,10,900.0000,-10.00%,-100.0000,,stop_loss,
1789418978.735,2026-09-14 20:49:38,TESTUSDT,MANUAL_MARKET_SOLD,5,97,10,970.0000,-3.00%,-30.0000,,manual_or_emergency_market_sell,
1789418978.775,2026-09-14 20:49:38,TESTUSDT,SL_OCO_FILLED,888,97,10,970.0000,-3.00%,-30.0000,,oco_stop_loss,
1789418982.307,2026-09-14 20:49:42,TESTUSDT,BUY_LIMIT_FILLED,777,100,5,500.0000,,,,pullback_limit_fill,"{""best_score"": 70.0}"
1789418982.344,2026-09-14 20:49:42,TESTUSDT,TP_LIMIT_PLACED,999,101,5,,,,,tp=1.0%,
1789418983.176,2026-09-14 20:49:43,TESTUSDT,SL_MARKET_FILLED,,97,10,970.0000,-3.00%,-30.0000,,stop_loss,
1789419747.638,2026-09-14 21:02:27,TESTUSDT,SL_MARKET_FILLED,,90,10,900.0000,-10.00%,-100.0000,,stop_loss,
1789419747.670,2026-09-14 21:02:27,TESTUSDT,MANUAL_MARKET_SOLD,5,97,10,970.0000,-3.00%,-30.0000,,manual_or_emergency_market_sell,
1789419747.703,2026-09-14 21:02:27,TESTUSDT,SL_OCO_FILLED,888,97,10,970.0000,-3.00%,-30.0000,,oco_stop_loss,
1789419751.146,2026-09-14 21:02:31,TESTUSDT,BUY_LIMIT_FILLED,777,100,5,500.0000,,,,pullback_limit_fill,"{""best_score"": 70.0}"
1789419751.147,2026-09-14 21:02:31,TESTUSDT,TP_LIMIT_PLACED,999,101,5,,,,,tp=1.0%,
1789419751.440,2026-09-14 21:02:31,TESTUSDT,SL_MARKET_FILLED,,97,10,970.0000,-3.00%,-30.0000,,stop_loss,
